"","Country","Ranking","love_songs_id","Song","Artist","n"
"1","France",1,"0EzNyXyU7gHzj2TN8qYThj","Bolide allemand","SDM",3
"2","France",2,"4wNyrbY6B2Okii8VeKo2B2","Meuda","Tiakola",3
"3","France",3,"7DSAEUvxU8FajXtRloy8M0","Flowers","Miley Cyrus",40
"4","France",5,"5UPpgOKi0UQMMMSzWWgJJe","AMBER","Zola",3
"5","Germany",1,"7oQepKHmXDaPC3rgeLRvQu","Komet","Udo Lindenberg, Apache 207",10
"6","Germany",2,"7DSAEUvxU8FajXtRloy8M0","Flowers","Miley Cyrus",40
"7","Germany",3,"6JUeZ04YG6WIy937AgIPsR","Sie weiß (feat. Mero)","AYLIVA, MERO",4
"8","Germany",4,"42Ztw2ZtZR3mtWjXpg0R5I","TABU.","Yung Yury, Damn Yury",4
"9","Germany",5,"561jH07mF1jHuk7KlaeF0s","Mockingbird","Eminem",43
"10","Italy",1,"0mHC3BK9vFGoEU0EcGPWRZ","CENERE","Lazza",10
"11","Italy",2,"2hHC2jw8qiE4IAPDGjU4Fu","Gelosa (feat. Shiva, Sfera Ebbasta, Guè)","Finesse",4
"12","Italy",3,"1K9qAxGT4cWUicf2OezSen","VETRI NERI","AVA",11
"13","Italy",4,"5x9LonDyHxGUO2VzfHJHLE","COME VUOI","Geolier",9
"14","Italy",5,"2tTmW7RDtMQtBk7m2rYeSw","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap",34
"15","Poland",1,"6tARtPlcilM1u4tbAWgato","Taxi","Kizo, Bletka,BeMelo, Eddie Block, Adash",7
"16","Poland",2,"4u3pVIKFDquOVeyvkc1Hjh","5 INFLUENCEREK","Zeamsone",3
"17","Poland",3,"7DSAEUvxU8FajXtRloy8M0","Flowers","Miley Cyrus",40
"18","Poland",4,"1odExI7RdWc4BT515LTAwj","Daylight","David Kushner",101
"19","Poland",5,"09bXpqLbPGZum6I4lDcnMX","Malibu Barbie","club2020,Oki, Otsochodzi, Taco Hemingway, Young Leosia, Dwa Sławy, Gruby Mielzky",3
"20","Spain",2,"4FAKtPVycI4DxoOHC01YqD","Yandel 150","Yandel",13
"21","Spain",3,"6XbtvPmIpyCbjuT0e8cQtp","Columbia","Quevedo",37
"22","Spain",4,"51FvjPEGKq2zByeeEQ43V9","El Merengue","Marhsmello",12
"23","Spain",5,"5ww2BF9slyYgNOk37BlC4u","La Bachata","Manuel Turizo",47
"24","Sweden",1,"4o5Ob60pz8QHcFKcr4MWyf","Ikväll igen","Bolaget",8
"25","Sweden",2,"6KOzO2mUwSwe8a9GiJAn7X","Kan inte gå","Bolaget",5
"26","Sweden",3,"1DmW5Ep6ywYwxc2HMT5BG6","Tattoo","Loreen",21
"27","Sweden",4,"7DSAEUvxU8FajXtRloy8M0","Flowers","Miley Cyrus",40
"28","Sweden",5,"6dP4jUSraFGLZ8onWUAC0z","Rid mig som en dalahäst","Rasmus Gozzi, FRÖKEN SNUSK",1
"29","Turkey",1,"4o4kbDP7DMVFPwAf5D5bj9","Aşkın Olayım","Simge",9
"30","Turkey",2,"7p0ODIG60DRkcTiVlJPgck","Yana Yana","Semicenk",3
"31","Turkey",3,"4ist5GP5r7UDz9gdsiJmYd","NKBİ X YAPAMAM - Remix","Lvbel C5",4
"32","Turkey",4,"3WCrBnWabeuTk2wr6UwaYV","AFFETMEM","BLOK3",6
"33","Turkey",5,"4Sdj67b8WF9PhAXh4tvBi6","Pişman Değilim","Semicenk",7
"34","United Kingdom",1,"2FDTHlrBguDzQkp7PVj16Q","Sprinter","Dave, Central Cee",35
"35","United Kingdom",2,"7DSAEUvxU8FajXtRloy8M0","Flowers","Miley Cyrus",40
"36","United Kingdom",3,"3OHfY25tqY28d16oZczHc8","Kill Bill","SZA",45
"37","United Kingdom",4,"6AQbmUe0Qwf5PZnt4HmTXv","Boy's a liar Pt. 2","PinkPantheress",54
"38","United Kingdom",5,"2VOZniNxFIDl8ydLltrMNb","Escapism.","RAYE, 070 Shake",10
